訂單編號,訂單日期,出貨日期,配送方式,客戶編號,城市,國家,產品名稱,產品類別,銷售數量,銷售金額,商品利潤
P06160,2020-09-14,2020-09-20,空運,C0003,Paris,France,沙發,傢俱,2,59,-17
P06161,2020-09-15,2020-09-19,航運,C0010,Rome,Italy,沙發,傢俱,5,699,147
P06162,2020-09-15,2020-09-22,空運,C0001,London,United Kingdom,麥片,食品,3,89,45
P06163,2020-09-15,2020-09-22,航運,C0006,Paris,France,椅子,傢俱,6,2491,1046
P06164,2020-09-15,2020-09-22,空運,C0003,Birmingham,United Kingdom,沙發,傢俱,4,729,248
P06165,2020-09-15,2020-09-22,空運,C0003,London,United Kingdom,電腦椅,傢俱,5,1491,104
P06166,2020-09-15,2020-09-15,航運,C0010,Munich,Germany,椅子,傢俱,5,613,-184
P06167,2020-09-15,2020-09-15,空運,C0001,Berlin,Germany,椅子,傢俱,11,3499,-3009
P06168,2020-09-15,2020-09-19,空運,C0001,Birmingham,United Kingdom,桌子,傢俱,4,705,0
P06169,2020-09-16,2020-09-16,航運,C0001,Berlin,Germany,椅子,傢俱,2,17,1
P06170,2020-09-16,2020-09-16,快捷,C0004,Lisbon,Portugal,冷氣機,家電,2,111,17
P06171,2020-09-17,2020-09-23,航運,C0007,Amsterdam,Netherlands,延長線,辦公品,7,336,24
P06172,2020-09-17,2020-09-22,空運,C0005,Liverpool,United Kingdom,延長線,辦公品,4,1860,316
P06173,2020-09-17,2020-09-20,航運,C0001,Bern,Switzerland,護貝機,辦公品,6,450,70
P06174,2020-09-17,2020-09-20,快捷,C0005,Madrid,Spain,護貝機,辦公品,2,43,1
P06175,2020-09-17,2020-09-20,空運,C0007,London,United Kingdom,護貝機,辦公品,3,347,-12
P06176,2020-09-17,2020-09-20,空運,C0004,Birmingham,United Kingdom,桌子,傢俱,14,843,-56
P06177,2020-09-17,2020-09-20,航運,C0008,Bern,Switzerland,延長線,辦公品,4,268,18
P06178,2020-09-17,2020-09-20,空運,C0003,Barcelona,Spain,延長線,辦公品,4,66,29
P06179,2020-09-17,2020-09-24,空運,C0001,London,United Kingdom,椅子,傢俱,3,662,184
P06180,2020-09-17,2020-09-19,空運,C0002,London,United Kingdom,沙發,傢俱,3,150,54
P06181,2020-09-18,2020-09-18,航運,C0002,London,United Kingdom,延長線,辦公品,2,40,-2
P06182,2020-09-18,2020-09-18,航運,C0003,Bristol,United Kingdom,電腦椅,傢俱,5,1752,39
P06183,2020-09-18,2020-09-18,空運,C0007,Paris,France,護貝機,辦公品,3,201,65
P06184,2020-09-18,2020-09-18,航運,C0006,Hamburg,Germany,冷氣機,家電,3,35,-4
P06185,2020-09-18,2020-09-18,航運,C0003,Birmingham,United Kingdom,吸塵器,家電,2,84,19
P06186,2020-09-18,2020-09-23,空運,C0008,Paris,France,吸塵器,家電,3,25,1
P06187,2020-09-18,2020-09-20,航運,C0005,Bern,Switzerland,沙發,傢俱,3,365,153
P06188,2020-09-18,2020-09-20,空運,C0001,Berlin,Germany,櫃子,傢俱,3,19,9
P06189,2020-09-18,2020-09-21,航運,C0005,Birmingham,United Kingdom,桌子,傢俱,10,203,-69
P06190,2020-09-18,2020-09-21,航運,C0002,Paris,France,延長線,辦公品,5,136,-6
P06191,2020-09-18,2020-09-21,航運,C0007,Lisbon,Portugal,護貝機,辦公品,2,587,169
P06192,2020-09-18,2020-09-22,航運,C0003,Berlin,Germany,投影機,家電,3,423,182
P06193,2020-09-18,2020-09-25,航運,C0003,Birmingham,United Kingdom,護貝機,辦公品,3,110,27
P06194,2020-09-18,2020-09-25,航運,C0001,London,United Kingdom,護貝機,辦公品,10,954,132
P06195,2020-09-18,2020-09-24,快捷,C0008,Munich,Germany,護貝機,辦公品,4,96,47
P06196,2020-09-18,2020-09-24,快捷,C0007,Madrid,Spain,椅子,傢俱,7,102,33
P06197,2020-09-18,2020-09-24,空運,C0007,Munich,Germany,延長線,辦公品,3,498,104
P06198,2020-09-18,2020-09-24,快捷,C0008,Lisbon,Portugal,桌子,傢俱,3,1391,556
P06199,2020-09-18,2020-09-24,航運,C0004,Lisbon,Portugal,椅子,傢俱,8,324,107
P06200,2020-09-18,2020-09-21,空運,C0003,Barcelona,Spain,延長線,辦公品,1,14,2
P06201,2020-09-18,2020-09-21,快捷,C0003,London,United Kingdom,桌子,傢俱,2,115,5
P06202,2020-09-18,2020-09-19,航運,C0005,Liverpool,United Kingdom,速食麵,食品,5,23,8
P06203,2020-09-18,2020-09-21,空運,C0010,Birmingham,United Kingdom,護貝機,辦公品,2,27,4
P06204,2020-09-18,2020-09-21,空運,C0005,Bern,Switzerland,麥片,食品,2,167,70
P06205,2020-09-18,2020-09-21,航運,C0003,London,United Kingdom,櫃子,傢俱,3,1908,534
P06206,2020-09-19,2020-09-25,快捷,C0005,Hamburg,Germany,椅子,傢俱,1,106,15
P06207,2020-09-19,2020-09-23,空運,C0006,Birmingham,United Kingdom,冷氣機,家電,2,26,8
P06208,2020-09-19,2020-09-23,空運,C0008,London,United Kingdom,延長線,辦公品,2,41,10
P06209,2020-09-19,2020-09-26,快捷,C0001,London,United Kingdom,桌子,傢俱,3,33,2
P06210,2020-09-19,2020-09-26,快捷,C0005,Rome,Italy,打卡機,辦公品,2,294,129
P06211,2020-09-19,2020-09-25,快捷,C0009,London,United Kingdom,桌子,傢俱,4,498,95
P06212,2020-09-19,2020-09-25,快捷,C0002,Birmingham,United Kingdom,電腦椅,傢俱,2,58,15
P06213,2020-09-19,2020-09-25,空運,C0007,Hamburg,Germany,速食麵,食品,5,158,13
P06214,2020-09-20,2020-09-25,航運,C0003,London,United Kingdom,投影機,家電,3,132,16
P06215,2020-09-20,2020-09-25,航運,C0006,Liverpool,United Kingdom,椅子,傢俱,6,1471,515
P06216,2020-09-20,2020-09-24,航運,C0001,Madrid,Spain,沙發,傢俱,3,726,356
P06217,2020-09-20,2020-09-26,空運,C0004,London,United Kingdom,延長線,辦公品,2,293,14
P06218,2020-09-20,2020-09-24,空運,C0007,Vienna,Austria,護貝機,辦公品,3,781,281
P06219,2020-09-20,2020-09-24,空運,C0007,Barcelona,Spain,椅子,傢俱,4,2249,225
P06220,2020-09-20,2020-09-22,航運,C0002,London,United Kingdom,護貝機,辦公品,1,455,164
P06221,2020-09-20,2020-09-22,航運,C0002,Hamburg,Germany,冷氣機,家電,2,40,10
P06222,2020-09-20,2020-09-22,航運,C0003,Munich,Germany,護貝機,辦公品,7,118,-43
P06223,2020-09-20,2020-09-22,快捷,C0005,Barcelona,Spain,冷氣機,家電,3,134,-83
P06224,2020-09-20,2020-09-24,航運,C0002,Lisbon,Portugal,護貝機,辦公品,4,13,-3
P06225,2020-09-20,2020-09-24,空運,C0008,Paris,France,沙發,傢俱,1,13,-5
P06226,2020-09-20,2020-09-20,空運,C0003,Hamburg,Germany,護貝機,辦公品,6,34,8
P06227,2020-09-20,2020-09-20,航運,C0004,Bern,Switzerland,沙發,傢俱,4,191,29
P06228,2020-09-20,2020-09-20,航運,C0003,Brussels,Belgium,打卡機,辦公品,8,403,48
P06229,2020-09-21,2020-09-23,航運,C0003,Paris,France,櫃子,傢俱,5,251,85
P06230,2020-09-21,2020-09-23,航運,C0003,Vienna,Austria,電腦椅,傢俱,3,159,27
P06231,2020-09-21,2020-09-23,航運,C0010,London,United Kingdom,延長線,辦公品,5,252,98
P06232,2020-09-21,2020-09-26,空運,C0001,Berlin,Germany,椅子,傢俱,3,108,-6
P06233,2020-09-21,2020-09-26,空運,C0003,Berlin,Germany,護貝機,辦公品,3,63,-22
P06234,2020-09-21,2020-09-26,航運,C0003,Amsterdam,Netherlands,延長線,辦公品,3,79,-27
P06235,2020-09-21,2020-09-26,航運,C0002,London,United Kingdom,冷氣機,家電,5,104,-89
P06236,2020-09-21,2020-09-26,航運,C0006,Berlin,Germany,護貝機,辦公品,2,654,-51
P06237,2020-09-21,2020-09-26,航運,C0007,Berlin,Germany,冷氣機,家電,4,175,23
P06238,2020-09-21,2020-09-26,空運,C0003,Amsterdam,Netherlands,速食麵,食品,3,201,27
P06239,2020-09-21,2020-09-26,航運,C0002,Munich,Germany,沙發,傢俱,5,2057,0
P06240,2020-09-21,2020-09-25,航運,C0007,Birmingham,United Kingdom,延長線,辦公品,6,1122,25
P06241,2020-09-21,2020-09-25,航運,C0002,Birmingham,United Kingdom,電腦椅,傢俱,4,263,76
P06242,2020-09-21,2020-09-23,航運,C0003,Liverpool,United Kingdom,椅子,傢俱,2,47,13
P06243,2020-09-21,2020-09-23,空運,C0007,Liverpool,United Kingdom,椅子,傢俱,8,362,-16
P06244,2020-09-21,2020-09-23,空運,C0006,Hamburg,Germany,櫃子,傢俱,4,210,12
P06245,2020-09-21,2020-09-23,航運,C0002,Berlin,Germany,電腦椅,傢俱,5,87,-9
P06246,2020-09-21,2020-09-23,航運,C0008,Vienna,Austria,電腦椅,傢俱,2,84,19
P06247,2020-09-21,2020-09-25,快捷,C0003,Brussels,Belgium,延長線,辦公品,7,68,23
P06248,2020-09-21,2020-09-25,航運,C0002,Bern,Switzerland,麥片,食品,1,36,15
P06249,2020-09-22,2020-09-24,空運,C0006,Liverpool,United Kingdom,麥片,食品,8,115,11
P06250,2020-09-22,2020-09-22,航運,C0009,Rome,Italy,桌子,傢俱,6,59,16
P06251,2020-09-22,2020-09-22,航運,C0004,Hamburg,Germany,速食麵,食品,2,21,8
P06252,2020-09-22,2020-09-22,空運,C0007,Lisbon,Portugal,護貝機,辦公品,7,177,4
P06253,2020-09-22,2020-09-27,空運,C0001,Munich,Germany,延長線,辦公品,3,646,-72
P06254,2020-09-22,2020-09-27,快捷,C0005,Barcelona,Spain,麥片,食品,1,254,17
P06255,2020-09-22,2020-09-27,快捷,C0007,Berlin,Germany,延長線,辦公品,1,45,13
P06256,2020-09-22,2020-09-27,快捷,C0006,Liverpool,United Kingdom,櫃子,傢俱,6,72,9
P06257,2020-09-22,2020-09-29,航運,C0003,Birmingham,United Kingdom,延長線,辦公品,2,935,439
P06258,2020-09-22,2020-09-26,空運,C0007,Barcelona,Spain,打卡機,辦公品,4,53,8
P06259,2020-09-22,2020-09-26,空運,C0005,Madrid,Spain,麥片,食品,1,117,-4
P06260,2020-09-22,2020-09-28,快捷,C0005,London,United Kingdom,延長線,辦公品,1,26,8
P06261,2020-09-22,2020-09-28,航運,C0004,Vienna,Austria,護貝機,辦公品,2,27,4
P06262,2020-09-22,2020-09-27,航運,C0005,Liverpool,United Kingdom,麥片,食品,1,42,6
P06263,2020-09-22,2020-09-27,空運,C0004,Birmingham,United Kingdom,椅子,傢俱,2,49,5
P06264,2020-09-22,2020-09-27,空運,C0002,Berlin,Germany,桌子,傢俱,1,249,-19
P06265,2020-09-22,2020-09-25,航運,C0007,Bern,Switzerland,沙發,傢俱,2,110,44
P06266,2020-09-23,2020-09-29,航運,C0008,Lisbon,Portugal,護貝機,辦公品,3,41,20
P06267,2020-09-23,2020-09-29,航運,C0007,Berlin,Germany,打卡機,辦公品,2,93,36
P06268,2020-09-24,2020-09-28,空運,C0005,London,United Kingdom,桌子,傢俱,2,56,8
P06269,2020-09-24,2020-09-30,快捷,C0005,Paris,France,護貝機,辦公品,5,226,-10
P06270,2020-09-24,2020-09-30,空運,C0007,Rome,Italy,電腦椅,傢俱,3,125,35
P06271,2020-09-24,2020-09-28,航運,C0009,Hamburg,Germany,沙發,傢俱,2,62,17
P06272,2020-09-25,2020-09-29,航運,C0007,London,United Kingdom,麥片,食品,2,10,-1
P06273,2020-09-25,2020-10-01,空運,C0008,Barcelona,Spain,椅子,傢俱,2,831,175
P06274,2020-09-25,2020-10-01,空運,C0004,Birmingham,United Kingdom,冷氣機,家電,3,458,-10
P06275,2020-09-25,2020-10-01,航運,C0007,Brussels,Belgium,椅子,傢俱,7,1082,-72
P06276,2020-09-25,2020-10-01,航運,C0007,Munich,Germany,打卡機,辦公品,1,236,27
P06277,2020-09-25,2020-09-29,航運,C0008,Paris,France,沙發,傢俱,7,1168,444
P06278,2020-09-25,2020-09-29,航運,C0007,Hamburg,Germany,延長線,辦公品,2,95,2
P06279,2020-09-25,2020-09-29,空運,C0001,Lisbon,Portugal,打卡機,辦公品,3,34,13
P06280,2020-09-26,2020-09-30,快捷,C0003,Paris,France,沙發,傢俱,1,54,18
P06281,2020-09-26,2020-09-30,空運,C0002,Berlin,Germany,速食麵,食品,3,742,7
P06282,2020-09-26,2020-10-01,航運,C0007,Madrid,Spain,打卡機,辦公品,4,51,7
P06283,2020-09-26,2020-09-30,快捷,C0004,London,United Kingdom,護貝機,辦公品,2,1303,208
P06284,2020-09-26,2020-09-30,快捷,C0007,Rome,Italy,電腦椅,傢俱,2,28,6
P06285,2020-09-26,2020-10-03,航運,C0003,Munich,Germany,桌子,傢俱,10,103,36
P06286,2020-09-26,2020-10-03,快捷,C0007,Paris,France,冷氣機,家電,1,457,46
P06287,2020-09-26,2020-10-03,空運,C0007,Bristol,United Kingdom,桌子,傢俱,4,29,11
P06288,2020-09-26,2020-10-03,航運,C0006,Berlin,Germany,延長線,辦公品,2,282,8
P06289,2020-09-26,2020-10-03,快捷,C0004,Bern,Switzerland,護貝機,辦公品,1,45,13
P06290,2020-09-26,2020-09-30,航運,C0008,Rome,Italy,護貝機,辦公品,3,162,52
P06291,2020-09-26,2020-09-30,空運,C0007,Bristol,United Kingdom,護貝機,辦公品,4,176,12
P06292,2020-09-26,2020-09-30,航運,C0010,Barcelona,Spain,桌子,傢俱,2,47,9
P06293,2020-09-27,2020-10-01,快捷,C0001,Birmingham,United Kingdom,櫃子,傢俱,7,318,56
P06294,2020-09-27,2020-10-01,航運,C0007,Berlin,Germany,速食麵,食品,5,46,15
P06295,2020-09-27,2020-10-01,空運,C0007,London,United Kingdom,電腦椅,傢俱,4,1637,473
P06296,2020-09-27,2020-10-01,空運,C0001,Paris,France,椅子,傢俱,3,103,44
P06297,2020-09-27,2020-09-29,空運,C0003,Birmingham,United Kingdom,櫃子,傢俱,2,227,-16
P06298,2020-09-27,2020-10-01,航運,C0006,Madrid,Spain,冷氣機,家電,5,44,-23
P06299,2020-09-27,2020-10-01,快捷,C0004,Berlin,Germany,沙發,傢俱,5,57,-32
P06300,2020-09-27,2020-10-01,空運,C0005,Hamburg,Germany,冷氣機,家電,2,15,-7
P06301,2020-09-27,2020-10-01,航運,C0007,Berlin,Germany,冷氣機,家電,3,19,-12
P06302,2020-09-27,2020-10-01,快捷,C0007,Hamburg,Germany,護貝機,辦公品,4,34,6
P06303,2020-09-27,2020-10-01,快捷,C0006,London,United Kingdom,投影機,家電,7,692,297
P06304,2020-09-28,2020-10-01,航運,C0003,Bristol,United Kingdom,延長線,辦公品,5,46,12
P06305,2020-09-28,2020-10-01,航運,C0008,London,United Kingdom,冷氣機,家電,1,25,1
P06306,2020-09-28,2020-10-03,快捷,C0005,Vienna,Austria,椅子,傢俱,7,417,100
P06307,2020-09-28,2020-10-01,空運,C0010,Birmingham,United Kingdom,速食麵,食品,8,309,-41
P06308,2020-09-28,2020-10-03,航運,C0003,Berlin,Germany,椅子,傢俱,5,73,29
P06309,2020-09-28,2020-10-05,快捷,C0001,Paris,France,速食麵,食品,11,159,-27
P06310,2020-09-28,2020-09-29,快捷,C0007,Berlin,Germany,椅子,傢俱,2,565,130
P06311,2020-09-28,2020-09-29,快捷,C0005,Berlin,Germany,椅子,傢俱,2,108,20
P06312,2020-10-01,2020-10-05,空運,C0007,Paris,France,椅子,傢俱,6,129,-3
P06313,2020-10-01,2020-10-01,航運,C0006,Madrid,Spain,護貝機,辦公品,3,804,370
P06314,2020-10-01,2020-10-04,快捷,C0006,Liverpool,United Kingdom,投影機,家電,4,538,0
P06315,2020-10-01,2020-10-04,快捷,C0009,Birmingham,United Kingdom,麥片,食品,3,184,55
P06316,2020-10-01,2020-10-07,空運,C0008,Berlin,Germany,護貝機,辦公品,2,27,-13
P06317,2020-10-01,2020-10-04,航運,C0002,Paris,France,護貝機,辦公品,1,26,-10
P06318,2020-10-01,2020-10-07,快捷,C0005,Birmingham,United Kingdom,櫃子,傢俱,5,641,-423
P06319,2020-10-01,2020-10-07,航運,C0002,Madrid,Spain,冷氣機,家電,3,205,-103
P06320,2020-10-01,2020-10-07,空運,C0002,Vienna,Austria,椅子,傢俱,2,135,-27
P06321,2020-10-01,2020-10-07,航運,C0009,Bern,Switzerland,櫃子,傢俱,7,59,-45
P06322,2020-10-01,2020-10-06,航運,C0008,Barcelona,Spain,椅子,傢俱,12,211,-28
P06323,2020-10-01,2020-10-06,航運,C0006,Lisbon,Portugal,電腦椅,傢俱,9,426,150
P06324,2020-10-01,2020-10-05,航運,C0001,Madrid,Spain,椅子,傢俱,2,8,-4
P06325,2020-10-01,2020-10-05,空運,C0003,Madrid,Spain,投影機,家電,4,553,250
P06326,2020-10-01,2020-10-05,航運,C0004,Bern,Switzerland,桌子,傢俱,1,7,-2
P06327,2020-10-01,2020-10-05,航運,C0007,Bristol,United Kingdom,麥片,食品,7,1290,263
P06328,2020-10-01,2020-10-08,航運,C0003,Birmingham,United Kingdom,投影機,家電,1,15,6
P06329,2020-10-01,2020-10-06,快捷,C0002,Berlin,Germany,護貝機,辦公品,1,168,79
P06330,2020-10-01,2020-10-04,空運,C0001,Munich,Germany,護貝機,辦公品,4,1321,484
P06331,2020-10-02,2020-10-03,空運,C0003,London,United Kingdom,速食麵,食品,6,1943,259
P06332,2020-10-02,2020-10-06,空運,C0007,Liverpool,United Kingdom,櫃子,傢俱,4,68,10
P06333,2020-10-02,2020-10-03,航運,C0008,Madrid,Spain,護貝機,辦公品,3,84,29
P06334,2020-10-02,2020-10-04,航運,C0001,Birmingham,United Kingdom,桌子,傢俱,3,405,117
P06335,2020-10-02,2020-10-04,航運,C0005,Munich,Germany,椅子,傢俱,1,437,96
P06336,2020-10-02,2020-10-05,快捷,C0005,Munich,Germany,椅子,傢俱,3,174,33
P06337,2020-10-02,2020-10-05,快捷,C0001,London,United Kingdom,吸塵器,家電,1,11,3
P06338,2020-10-03,2020-10-08,航運,C0005,London,United Kingdom,護貝機,辦公品,2,122,50
P06339,2020-10-03,2020-10-08,快捷,C0003,Berlin,Germany,護貝機,辦公品,2,220,59
P06340,2020-10-03,2020-10-05,空運,C0006,London,United Kingdom,冷氣機,家電,6,3001,1080
P06341,2020-10-03,2020-10-05,空運,C0007,Rome,Italy,速食麵,食品,2,413,132
P06342,2020-10-03,2020-10-07,快捷,C0006,Bristol,United Kingdom,投影機,家電,2,77,9
P06343,2020-10-03,2020-10-08,空運,C0009,Bern,Switzerland,延長線,辦公品,1,54,-30
P06344,2020-10-03,2020-10-08,快捷,C0002,Madrid,Spain,椅子,傢俱,2,19,-5
P06345,2020-10-03,2020-10-08,空運,C0002,Berlin,Germany,吸塵器,家電,2,595,-129
P06346,2020-10-03,2020-10-08,快捷,C0008,Berlin,Germany,護貝機,辦公品,5,204,-10
P06347,2020-10-03,2020-10-08,快捷,C0009,Madrid,Spain,椅子,傢俱,2,66,-41
P06348,2020-10-03,2020-10-05,空運,C0001,Madrid,Spain,吸塵器,家電,5,86,-19
P06349,2020-10-03,2020-10-05,空運,C0002,Birmingham,United Kingdom,速食麵,食品,8,955,-414
P06350,2020-10-03,2020-10-05,空運,C0006,Birmingham,United Kingdom,延長線,辦公品,3,104,-10
P06351,2020-10-03,2020-10-06,快捷,C0001,Birmingham,United Kingdom,延長線,辦公品,10,200,96
P06352,2020-10-03,2020-10-06,空運,C0007,Brussels,Belgium,沙發,傢俱,1,9,3
P06353,2020-10-03,2020-10-05,快捷,C0001,Lisbon,Portugal,椅子,傢俱,2,63,-37
P06354,2020-10-03,2020-10-05,快捷,C0008,Madrid,Spain,延長線,辦公品,2,169,-82
P06355,2020-10-04,2020-10-09,快捷,C0002,Munich,Germany,延長線,辦公品,3,60,25
P06356,2020-10-04,2020-10-08,航運,C0001,Bern,Switzerland,冷氣機,家電,9,1714,648
P06357,2020-10-04,2020-10-08,航運,C0001,Barcelona,Spain,桌子,傢俱,7,83,9
P06358,2020-10-04,2020-10-08,航運,C0004,Rome,Italy,冷氣機,家電,7,320,131
P06359,2020-10-04,2020-10-08,快捷,C0002,Rome,Italy,速食麵,食品,2,382,191
P06360,2020-10-04,2020-10-08,航運,C0001,London,United Kingdom,速食麵,食品,5,697,132
P06361,2020-10-04,2020-10-06,快捷,C0007,Barcelona,Spain,冷氣機,家電,2,14,-5
P06362,2020-10-04,2020-10-05,航運,C0005,Amsterdam,Netherlands,延長線,辦公品,3,39,5
P06363,2020-10-04,2020-10-08,空運,C0007,Munich,Germany,櫃子,傢俱,9,158,16
P06364,2020-10-04,2020-10-04,航運,C0007,Hamburg,Germany,椅子,傢俱,2,7,-3
P06365,2020-10-04,2020-10-04,快捷,C0001,London,United Kingdom,電腦椅,傢俱,2,206,-86
P06366,2020-10-04,2020-10-04,航運,C0001,Berlin,Germany,櫃子,傢俱,4,1287,-536
P06367,2020-10-05,2020-10-09,航運,C0006,Vienna,Austria,麥片,食品,3,247,54
P06368,2020-10-05,2020-10-09,空運,C0003,Hamburg,Germany,櫃子,傢俱,14,166,68
P06369,2020-10-05,2020-10-09,航運,C0005,Vienna,Austria,延長線,辦公品,4,100,33
P06370,2020-10-05,2020-10-09,空運,C0006,Birmingham,United Kingdom,延長線,辦公品,10,133,24
P06371,2020-10-05,2020-10-05,空運,C0003,Hamburg,Germany,吸塵器,家電,8,339,30
P06372,2020-10-05,2020-10-05,快捷,C0001,Madrid,Spain,速食麵,食品,2,56,11
P06373,2020-10-05,2020-10-05,快捷,C0001,Paris,France,速食麵,食品,1,55,19
P06374,2020-10-05,2020-10-08,快捷,C0006,Munich,Germany,速食麵,食品,3,572,-363
P06375,2020-10-05,2020-10-09,快捷,C0003,Berlin,Germany,櫃子,傢俱,6,2820,338
P06376,2020-10-05,2020-10-10,空運,C0006,Berlin,Germany,延長線,辦公品,3,21,1
P06377,2020-10-05,2020-10-09,空運,C0004,Birmingham,United Kingdom,桌子,傢俱,2,91,20
P06378,2020-10-05,2020-10-10,航運,C0004,Barcelona,Spain,延長線,辦公品,3,529,0
P06379,2020-10-05,2020-10-12,空運,C0007,Rome,Italy,椅子,傢俱,4,166,-5
P06380,2020-10-05,2020-10-12,航運,C0007,Hamburg,Germany,冷氣機,家電,7,39,-24
P06381,2020-10-07,2020-10-12,快捷,C0004,Berlin,Germany,護貝機,辦公品,2,43,-2
P06382,2020-10-07,2020-10-12,空運,C0007,Birmingham,United Kingdom,桌子,傢俱,3,30,12
P06383,2020-10-08,2020-10-14,航運,C0004,London,United Kingdom,麥片,食品,5,44,-12
P06384,2020-10-08,2020-10-12,航運,C0008,London,United Kingdom,沙發,傢俱,3,393,128
P06385,2020-10-08,2020-10-12,航運,C0009,Hamburg,Germany,椅子,傢俱,3,46,11
P06386,2020-10-08,2020-10-14,航運,C0008,Barcelona,Spain,速食麵,食品,3,21,9
P06387,2020-10-08,2020-10-13,航運,C0005,Amsterdam,Netherlands,冷氣機,家電,12,359,143
P06388,2020-10-08,2020-10-13,快捷,C0006,Munich,Germany,麥片,食品,3,776,225
P06389,2020-10-08,2020-10-13,空運,C0003,Amsterdam,Netherlands,冷氣機,家電,3,176,65
P06390,2020-10-08,2020-10-13,快捷,C0001,Paris,France,桌子,傢俱,4,367,22
P06391,2020-10-08,2020-10-13,快捷,C0002,Hamburg,Germany,冷氣機,家電,2,23,3
P06392,2020-10-08,2020-10-12,航運,C0005,Berlin,Germany,麥片,食品,9,121,8
P06393,2020-10-08,2020-10-09,空運,C0006,London,United Kingdom,電腦椅,傢俱,3,127,29
P06394,2020-10-08,2020-10-10,快捷,C0008,Bern,Switzerland,冷氣機,家電,6,967,-435
P06395,2020-10-09,2020-10-14,航運,C0009,Birmingham,United Kingdom,延長線,辦公品,6,254,73
P06396,2020-10-09,2020-10-11,快捷,C0005,Birmingham,United Kingdom,速食麵,食品,3,190,68
P06397,2020-10-09,2020-10-10,空運,C0003,Hamburg,Germany,麥片,食品,5,2348,728
P06398,2020-10-09,2020-10-15,航運,C0010,Paris,France,電腦椅,傢俱,2,555,-229
P06399,2020-10-10,2020-10-14,空運,C0007,Bristol,United Kingdom,桌子,傢俱,5,676,-44
P06400,2020-10-10,2020-10-17,航運,C0007,Munich,Germany,速食麵,食品,4,109,2
P06401,2020-10-10,2020-10-14,航運,C0001,Munich,Germany,桌子,傢俱,7,139,-89
P06402,2020-10-10,2020-10-17,空運,C0004,Brussels,Belgium,桌子,傢俱,3,410,5
P06403,2020-10-10,2020-10-17,航運,C0001,Madrid,Spain,櫃子,傢俱,7,1649,37
P06404,2020-10-10,2020-10-17,航運,C0007,Lisbon,Portugal,桌子,傢俱,2,87,22
P06405,2020-10-10,2020-10-17,航運,C0007,Munich,Germany,護貝機,辦公品,2,172,21
P06406,2020-10-10,2020-10-17,快捷,C0005,London,United Kingdom,椅子,傢俱,5,1711,-190
P06407,2020-10-10,2020-10-13,航運,C0008,Munich,Germany,吸塵器,家電,2,249,5
P06408,2020-10-10,2020-10-13,航運,C0007,Madrid,Spain,投影機,家電,4,62,22
P06409,2020-10-11,2020-10-16,空運,C0010,Bern,Switzerland,麥片,食品,3,140,1
P06410,2020-10-11,2020-10-18,快捷,C0001,Barcelona,Spain,吸塵器,家電,3,220,34
P06411,2020-10-11,2020-10-18,航運,C0002,Rome,Italy,延長線,辦公品,2,202,72
P06412,2020-10-11,2020-10-15,航運,C0009,Bern,Switzerland,椅子,傢俱,2,8,1
P06413,2020-10-11,2020-10-15,空運,C0003,Paris,France,護貝機,辦公品,4,27,4
P06414,2020-10-11,2020-10-15,空運,C0007,Hamburg,Germany,櫃子,傢俱,2,17,1
P06415,2020-10-11,2020-10-15,航運,C0001,Madrid,Spain,沙發,傢俱,5,174,-9
P06416,2020-10-11,2020-10-15,快捷,C0008,Hamburg,Germany,延長線,辦公品,10,245,-147
P06417,2020-10-11,2020-10-17,空運,C0006,Paris,France,椅子,傢俱,3,27,2
P06418,2020-10-11,2020-10-17,航運,C0002,London,United Kingdom,電腦椅,傢俱,1,276,-110
P06419,2020-10-11,2020-10-17,空運,C0010,London,United Kingdom,護貝機,辦公品,2,140,12
P06420,2020-10-11,2020-10-14,航運,C0007,Bern,Switzerland,延長線,辦公品,13,346,119
P06421,2020-10-11,2020-10-16,航運,C0007,Barcelona,Spain,吸塵器,家電,5,72,-11
P06422,2020-10-11,2020-10-16,航運,C0002,London,United Kingdom,椅子,傢俱,7,64,-57
P06423,2020-10-11,2020-10-16,航運,C0001,Rome,Italy,桌子,傢俱,3,136,15
P06424,2020-10-12,2020-10-15,快捷,C0001,Lisbon,Portugal,護貝機,辦公品,2,110,55
P06425,2020-10-12,2020-10-17,航運,C0007,Berlin,Germany,延長線,辦公品,6,177,87
P06426,2020-10-12,2020-10-17,空運,C0007,Rome,Italy,速食麵,食品,3,190,-53
P06427,2020-10-12,2020-10-17,空運,C0007,London,United Kingdom,椅子,傢俱,3,42,8
P06428,2020-10-12,2020-10-12,快捷,C0010,Hamburg,Germany,櫃子,傢俱,3,402,-141
P06429,2020-10-12,2020-10-15,快捷,C0005,Hamburg,Germany,桌子,傢俱,4,395,170
P06430,2020-10-12,2020-10-15,航運,C0005,Birmingham,United Kingdom,速食麵,食品,3,925,398
P06431,2020-10-12,2020-10-18,空運,C0002,Bristol,United Kingdom,護貝機,辦公品,1,102,-12
P06432,2020-10-12,2020-10-18,空運,C0001,Munich,Germany,麥片,食品,1,7,-4
P06433,2020-10-12,2020-10-18,空運,C0005,Birmingham,United Kingdom,冷氣機,家電,1,29,-6
P06434,2020-10-12,2020-10-17,空運,C0005,Munich,Germany,櫃子,傢俱,2,14,-5
P06435,2020-10-13,2020-10-18,航運,C0002,Lisbon,Portugal,延長線,辦公品,5,28,9
